-0.37	-2.67	-6.70
-2.83	 0.59	24.92
-1.85	-1.72	-8.51
 1.70	 1.56	 1.59
 1.04	 1.38	-5.30
 1.89	-0.40	16.06
 2.56	 0.55	 9.35
 2.40	 0.73	 7.68
 1.12	 0.81	-5.68
 0.41	-2.63	-10.35
-0.45	-1.95	-4.43
-0.01	-0.68	-1.06
 0.16	-2.38	-3.03
 2.08	 1.25	 8.40
-0.11	-2.34	-12.69
-0.69	-1.84	-3.15
 1.13	-1.93	 2.42
-0.86	 2.16	 7.22
-1.73	 2.29	16.66
 2.69	-0.80	26.51
 0.84	 1.77	 5.05
-0.18	-2.98	-3.56
-0.59	 2.58	 6.30
-1.50	 2.24	12.94
 2.39	-2.98	26.12
 1.38	-1.85	13.66
 1.00	-2.50	12.64
-0.33	 1.12	 1.29
-1.10	 1.15	10.39
 2.18	-2.28	25.81
 0.67	-1.59	 6.92
 1.53	-2.64	18.84
-2.97	-0.81	 2.86
-2.38	 2.86	27.60
 2.62	 0.85	10.62
 1.16	 1.67	-3.48
 2.63	-1.82	21.42
-1.43	 1.31	12.90
 0.44	-0.60	-3.23
 2.37	 1.24	 4.54
 2.68	 2.89	-5.07
 0.67	 1.50	-0.36
 1.16	-2.78	 7.38
-2.71	 0.56	21.86
-1.20	-2.15	-4.37
 2.88	 1.35	-0.11
 2.91	-2.22	33.84
 2.30	 0.13	 9.97
-2.10	-2.49	-6.44
-2.46	-0.35	-0.34
 1.36	 0.22	-2.23
-0.68	 2.79	 0.09
 2.51	-1.96	22.24
-2.90	 0.79	30.67
 0.38	-0.22	 1.56
-0.24	 2.61	-2.61
 0.16	 1.48	11.93
-1.14	-1.38	-1.74
-1.12	 1.60	 8.48
 1.69	 1.29	 4.00
-1.87	-0.84	 1.74
-0.89	-0.74	-1.54
 0.94	 0.11	 2.32
-0.78	 2.44	11.05
 2.56	 1.96	-3.63
 2.66	-2.35	38.60
 0.08	 0.27	-5.71
 1.00	 1.63	 0.82
 0.65	-2.47	13.21
-1.50	 1.96	13.31
 2.03	 1.95	-4.76
-2.31	-0.81	 1.59
 2.76	 1.01	 8.38
 1.40	-0.70	 4.41
-1.93	 1.35	12.91
-2.69	 2.01	29.79
 0.26	 2.13	 1.08
-0.87	-1.13	 0.75
-0.24	-2.62	-13.02
-0.84	-0.07	 4.48
-1.02	-2.81	-5.68
-1.23	-2.42	-17.10
-1.28	-0.99	 0.05
 0.34	-1.04	 7.72
-1.37	-1.61	-0.67
-2.83	 1.75	29.88
-0.05	 2.08	 3.09
 1.22	-1.27	 7.35
-0.92	 0.71	 7.17
-2.65	 2.17	35.15
-0.69	 1.01	 1.05
-1.51	-0.77	 4.36
-2.21	-1.38	 4.20
 0.98	 1.24	 0.82
-2.86	-2.39	 0.32
 1.91	-1.50	 9.55
-0.34	 2.77	 0.84
-1.69	-2.67	-4.96
-1.03	 2.47	16.47
 2.72	 1.31	14.47
